Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,New_Price,Price
Maruti Alto,Pune,2016.0,7000.0,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,Black/Silver,5.0,4.0,4.36 Lakh,3.0
Honda Civic,Pune,2006.0,125000.0,Petrol,Manual,Second,13.5 kmpl,1799 CC,130 bhp,White,5.0,4.0,,2.3
Maruti Celerio,Hyderabad,2014.0,24300.0,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,Others,5.0,4.0,,4.55
Maruti Ertiga,Chennai,2013.0,52000.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,Others,7.0,5.0,,6.9
Chevrolet Optra,Mumbai,2004.0,98798.0,Petrol,Manual,First,14.7 kmpl,1599 CC,104 bhp,Black/Silver,5.0,4.0,,1.5
Volkswagen Polo,Kolkata,2013.0,34212.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,White,5.0,4.0,,2.79
Mahindra Scorpio,Hyderabad,2013.0,86000.0,Diesel,Automatic,First,11.79 kmpl,2179 CC,120 bhp,Black/Silver,8.0,5.0,,8.0
Hyundai i20,Chennai,2012.0,70000.0,Diesel,Manual,First,21.9 kmpl,1396 CC,88.8 bhp,White,5.0,4.0,,4.0
Hyundai Santro,Chennai,2009.0,136642.0,Petrol,Manual,Second,17.92 kmpl,1086 CC,62.1 bhp,Black/Silver,5.0,4.0,,1.55
Hyundai i10,Kolkata,2008.0,55410.0,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,Black/Silver,5.0,4.0,,1.65
Hyundai Accent,Hyderabad,2010.0,95637.0,CNG,Manual,Second,13.2 km/kg,1495 CC,93.7 bhp,Others,5.0,4.0,,1.9
Audi A4,Kochi,2013.0,45330.0,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,Black/Silver,5.0,4.0,,13.19
BMW 3,Hyderabad,2015.0,36255.0,Diesel,Automatic,First,19.59 kmpl,1995 CC,184 bhp,Others,5.0,4.0,,33.0
BMW X1,Pune,2011.0,62943.0,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,White,5.0,4.0,,10.95
Maruti Baleno,Coimbatore,2018.0,38852.0,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,Black/Silver,5.0,4.0,,8.47
Mahindra Scorpio,Delhi,2011.0,77001.0,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,Others,8.0,5.0,,4.49
Maruti Wagon,Mumbai,2012.0,72000.0,CNG,Manual,First,26.2 km/kg,998 CC,58.2 bhp,White,5.0,4.0,,2.25
Toyota Innova,Coimbatore,2010.0,124313.0,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,White,8.0,5.0,,7.96
Maruti Swift,Kolkata,2011.0,60020.0,Diesel,Manual,First,17.8 kmpl,1248 CC,null bhp,White,5.0,4.0,,2.5
Audi Q7,Coimbatore,2016.0,31075.0,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,Black/Silver,7.0,5.0,,49.79
Maruti Alto,Chennai,2006.0,68000.0,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,White,5.0,4.0,,1.5
Honda Jazz,Mumbai,2015.0,27628.0,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,Others,5.0,4.0,,4.95
Hyundai i10,Chennai,2012.0,70000.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Black/Silver,5.0,4.0,,3.15
Maruti Swift,Jaipur,2012.0,75451.0,Petrol,Manual,First,17.5 kmpl,1197 CC,85.8 bhp,Others,5.0,4.0,,3.78
Honda Jazz,Jaipur,2015.0,63642.0,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,Black/Silver,5.0,4.0,,5.65
Honda City,Kolkata,2010.0,38446.0,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Others,5.0,4.0,,2.59
Tata Hexa,Delhi,2017.0,55000.0,Diesel,Manual,First,17.6 kmpl,2179 CC,153.86 bhp,White,7.0,5.0,19.86 Lakh,12.0
Audi A6,Kochi,2014.0,57456.0,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,Black/Silver,5.0,4.0,,21.56
Hyundai Grand,Coimbatore,2017.0,38712.0,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Black/Silver,5.0,4.0,7.45 Lakh,5.87
Volkswagen Vento,Hyderabad,2017.0,3600.0,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,Black/Silver,5.0,4.0,,12.25
Chevrolet Enjoy,Mumbai,2014.0,18000.0,Petrol,Manual,First,13.7 kmpl,1399 CC,98.82 bhp,Others,7.0,5.0,,3.35
Honda Brio,Pune,2013.0,50000.0,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,White,5.0,4.0,,3.25
Volkswagen Vento,Bangalore,2011.0,80000.0,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,White,5.0,4.0,,4.75
Honda Brio,Mumbai,2015.0,22000.0,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,White,5.0,4.0,6.23 Lakh,3.95
Maruti Swift,Pune,2016.0,23000.0,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,7.05
Hyundai i10,Pune,2013.0,45000.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,Others,5.0,4.0,,3.55
Maruti Alto,Coimbatore,2012.0,49008.0,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,White,5.0,4.0,,2.88
Maruti Baleno,Jaipur,2015.0,98000.0,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,White,5.0,4.0,,5.5
Ford Figo,Mumbai,2015.0,28843.0,Petrol,Automatic,First,17.01 kmpl,1499 CC,110.5 bhp,Others,5.0,4.0,,5.49
Honda City,Kochi,2018.0,22974.0,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,Others,5.0,4.0,15.55 Lakh,11.97
Mercedes-Benz GLE,Kochi,2017.0,25601.0,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,White,5.0,4.0,78.76 Lakh,56.73
Honda City,Kolkata,2012.0,60000.0,Petrol,,First,16.8 kmpl,1497 CC,116.3 bhp,White,5.0,4.0,,4.49
Mercedes-Benz B,Kochi,2014.0,42070.0,Petrol,Automatic,First,14.8 kmpl,1595 CC,120.7 bhp,Others,5.0,4.0,,11.57
Hyundai Xcent,Kolkata,2015.0,39871.0,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,Others,5.0,4.0,,3.5
Hyundai Elantra,Ahmedabad,2008.0,58005.0,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,Others,5.0,4.0,,4.25
Ford Fiesta,Hyderabad,2014.0,122800.0,Diesel,Manual,First,25.01 kmpl,1498 CC,89.75 bhp,Others,5.0,4.0,,5.65
Renault KWID,Pune,2015.0,28000.0,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,White,5.0,4.0,,2.65
Ford Figo,Mumbai,2019.0,1000.0,Petrol,Manual,First,18.12 kmpl,1196 CC,86.8 bhp,Black/Silver,5.0,4.0,,6.8
Honda Brio,Delhi,2013.0,33746.0,Petrol,,,18.5 kmpl,1198 CC,86.8 bhp,White,5.0,4.0,6.63 Lakh,3.2
Fiat Grande,Coimbatore,2015.0,44846.0,Petrol,Manual,Second,14.6 kmpl,1368 CC,88.7 bhp,White,5.0,4.0,,5.41
Tata Safari,Jaipur,2017.0,37000.0,Diesel,Manual,First,14.1 kmpl,2179 CC,154 bhp,White,7.0,5.0,16.95 Lakh,11.25
Ford Ecosport,Delhi,2013.0,65000.0,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,Others,5.0,4.0,,5.1
Renault Duster,Pune,2016.0,60000.0,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,Black/Silver,5.0,4.0,,8.0
Ford EcoSport,Chennai,2014.0,72563.0,Diesel,Manual,Second,22.77 kmpl,1498 CC,98.59 bhp,Others,5.0,4.0,,5.0
Hyundai i10,Kochi,2012.0,45178.0,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,Others,5.0,4.0,,3.48
Mahindra XUV500,Delhi,2014.0,86000.0,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,Others,7.0,5.0,,7.85
Jeep Compass,Kochi,2018.0,28937.0,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,White,5.0,4.0,21.38 Lakh,17.02
Hyundai EON,Coimbatore,2015.0,26568.0,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,White,5.0,4.0,,3.79
BMW 3,Mumbai,2011.0,51000.0,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5.0,4.0,47.87 Lakh,10.5
Hyundai Elantra,Coimbatore,2019.0,41871.0,Diesel,Manual,First,22.7 kmpl,1582 CC,126.2 bhp,White,5.0,4.0,,15.57
BMW 3,Delhi,2019.0,87000.0,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,Black/Silver,5.0,4.0,52.46 Lakh,6.67
Maruti Swift,Kolkata,2014.0,48800.0,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,White,5.0,4.0,,4.25
Maruti Wagon,Kochi,2013.0,36716.0,Petrol,Manual,First,18.9 kmpl,1061 CC,67 bhp,Others,5.0,4.0,,3.02
Maruti Baleno,Kochi,2017.0,36152.0,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,Black/Silver,5.0,4.0,,7.22
Mahindra KUV,Kolkata,2017.0,10500.0,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,Others,5.0,4.0,,4.7
Mahindra Bolero,Bangalore,2006.0,193000.0,Diesel,Manual,Third,13.6 kmpl,2523 CC,63 bhp,Others,7.0,5.0,,2.5
Maruti Vitara,Pune,2016.0,47300.0,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,Others,5.0,4.0,11.96 Lakh,8.85
Honda Civic,Bangalore,2011.0,72000.0,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,Black/Silver,5.0,4.0,,5.5
Toyota Corolla,Coimbatore,2014.0,72022.0,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,White,5.0,4.0,,9.23
Skoda Superb,Kochi,2017.0,73641.0,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,Black/Silver,5.0,4.0,33.36 Lakh,17.08
Maruti Ritz,Pune,2015.0,65000.0,Diesel,Manual,Second,23.2 kmpl,1248 CC,73.94 bhp,Black/Silver,5.0,4.0,,3.27
Ford Figo,Kolkata,2012.0,36542.0,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,Black/Silver,5.0,4.0,,2.65
Hyundai i20,Hyderabad,2015.0,26000.0,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,Black/Silver,5.0,4.0,,6.2
Hyundai Creta,Bangalore,2016.0,93000.0,Diesel,Manual,First,20.5 kmpl,1582 CC,126.2 bhp,Others,5.0,4.0,19.18 Lakh,10.8
Maruti Ertiga,Kochi,2013.0,39929.0,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,White,7.0,5.0,,6.56
Honda City,Pune,2012.0,45496.0,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,White,5.0,4.0,,4.75
Volkswagen Polo,Delhi,2012.0,74000.0,Diesel,Manual,Second,22.07 kmpl,1199 CC,73.9 bhp,Black/Silver,5.0,4.0,,2.65
Hyundai Grand,Delhi,2017.0,46000.0,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,Others,5.0,4.0,6.54 Lakh,4.75
Maruti Swift,Pune,2018.0,30000.0,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,White,5.0,4.0,,6.0
Skoda Rapid,Kolkata,2017.0,31300.0,Diesel,Automatic,First,21.72 kmpl,1498 CC,108.4 bhp,White,5.0,4.0,15.34 Lakh,10.5
Jaguar XF,Coimbatore,2014.0,82536.0,Diesel,Automatic,First,14.74 kmpl,2993 CC,270.9 bhp,Black/Silver,5.0,4.0,,28.63
Volkswagen Jetta,Bangalore,2009.0,74000.0,Diesel,Automatic,First,15.5 kmpl,1896 CC,105 bhp,Black/Silver,5.0,4.0,,5.25
Tata Indica,Kolkata,2008.0,133000.0,Diesel,Manual,First,16.8 kmpl,1405 CC,62 bhp,White,5.0,4.0,,0.7
Maruti Celerio,Delhi,2014.0,77000.0,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,Others,5.0,4.0,,2.8
Mahindra XUV500,Bangalore,2015.0,76000.0,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,Others,7.0,5.0,,12.0
Skoda Rapid,Bangalore,2012.0,72000.0,Diesel,Manual,First,20.5 kmpl,1598 CC,103.5 bhp,White,5.0,4.0,,4.6
Chevrolet Cruze,Kochi,2015.0,62242.0,Diesel,Automatic,First,14.39 kmpl,1998 CC,163.7 bhp,White,5.0,4.0,,6.62
Maruti Alto,Mumbai,2018.0,10600.0,CNG,Manual,First,33.44 km/kg,796 CC,40.3 bhp,Others,4.0,4.0,,3.5
Mahindra Bolero,Coimbatore,2016.0,82756.0,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,Black/Silver,7.0,5.0,11.28 Lakh,7.7
Maruti SX4,Delhi,2011.0,52000.0,Petrol,Manual,First,15.5 kmpl,1586 CC,103.3 bhp,White,5.0,4.0,,2.6
Mitsubishi Pajero,Bangalore,2013.0,132000.0,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,Others,7.0,5.0,34.6 Lakh,12.49
Honda Mobilio,Coimbatore,2017.0,50808.0,Diesel,Manual,Second,24.2 kmpl,1498 CC,98.6 bhp,Black/Silver,7.0,5.0,,6.68
Renault Duster,Mumbai,2014.0,58002.0,Diesel,Manual,First,19.64 kmpl,1461 CC,108.45 bhp,Black/Silver,5.0,4.0,,5.75
BMW 3,Jaipur,2013.0,62655.0,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,Others,5.0,4.0,,14.5
Honda Amaze,Delhi,2015.0,52516.0,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Others,5.0,4.0,,4.65
Maruti Ertiga,Delhi,2017.0,65000.0,Diesel,Manual,First,25.47 kmpl,1248 CC,88.50 bhp,Others,7.0,5.0,11.16 Lakh,7.65
Honda Amaze,Jaipur,2013.0,70961.0,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,Black/Silver,5.0,4.0,,4.0
Maruti Wagon,Chennai,2004.0,61000.0,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,White,5.0,4.0,,1.25
Volkswagen Polo,Hyderabad,2012.0,72003.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,Others,5.0,4.0,,3.9
Nissan Terrano,Kolkata,2016.0,53000.0,Diesel,Manual,First,19.01 kmpl,1461 CC,108.5 bhp,White,5.0,4.0,,6.25
Audi A4,Kochi,2015.0,13648.0,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,White,5.0,4.0,,21.43
Honda Amaze,Kochi,2019.0,25717.0,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.76 bhp,Black/Silver,5.0,4.0,9.47 Lakh,8.86
Mercedes-Benz B,Coimbatore,2017.0,48161.0,Diesel,Automatic,First,15.0 kmpl,2143 CC,107.3 bhp,Others,5.0,4.0,,20.87
Mahindra Scorpio,Chennai,2008.0,100000.0,Diesel,Manual,Second,12.7 kmpl,2609 CC,120 bhp,Others,8.0,5.0,,4.0
Volvo S60,Ahmedabad,2015.0,34000.0,Diesel,Automatic,First,9.0 kmpl,1984 CC,181 bhp,Others,5.0,4.0,,20.0
Mercedes-Benz E-Class,Pune,2014.0,100000.0,Diesel,Automatic,First,14.21 kmpl,2143 CC,203 bhp,Black/Silver,5.0,4.0,,25.0
Maruti 800,Jaipur,2007.0,59000.0,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,White,4.0,4.0,,0.75
Mercedes-Benz New,Delhi,2014.0,64000.0,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,Others,5.0,4.0,,15.65
Volkswagen Vento,Mumbai,2011.0,55893.0,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,Black/Silver,5.0,4.0,,3.35
Volkswagen CrossPolo,Kolkata,2015.0,26256.0,Diesel,Manual,First,20.14 kmpl,1498 CC,88.5 bhp,Black/Silver,5.0,4.0,,4.25
Audi Q5,Kochi,2013.0,13452.0,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,Others,5.0,4.0,,25.46
Honda Jazz,Pune,2016.0,21000.0,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,White,5.0,4.0,,6.35
Volkswagen Ameo,Kochi,2018.0,31426.0,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,Black/Silver,5.0,4.0,9.72 Lakh,7.9
Hyundai Accent,Ahmedabad,2010.0,58000.0,Petrol,Manual,Second,13.2 kmpl,1495 CC,94 bhp,White,5.0,4.0,,2.5
Audi Q7,Coimbatore,2014.0,72469.0,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,Others,7.0,5.0,,32.52
BMW X5,Mumbai,2014.0,47000.0,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,Black/Silver,7.0,5.0,,41.5
Toyota Etios,Kolkata,2013.0,42103.0,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,Others,5.0,4.0,,3.25
Skoda Laura,Hyderabad,2011.0,84062.0,Diesel,Manual,First,20.0 kmpl,1968 CC,108.5 bhp,White,5.0,4.0,,5.8
Hyundai i20,Kochi,2016.0,61012.0,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,White,5.0,4.0,,6.0
Maruti 800,Jaipur,2002.0,75000.0,Petrol,Manual,First,16.1 kmpl,796 CC,37 bhp,Black/Silver,4.0,4.0,,0.51
Toyota Fortuner,Kochi,2015.0,47566.0,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,Others,7.0,5.0,,20.25
Toyota Corolla,Kochi,2018.0,28321.0,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,Others,5.0,4.0,23.25 Lakh,17.49
Honda City,Kolkata,2014.0,40000.0,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,Black/Silver,5.0,4.0,,4.45
Hyundai Creta,Pune,2017.0,44865.0,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,Black/Silver,5.0,4.0,,13.35
Maruti Baleno,Kochi,2018.0,25858.0,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,Black/Silver,5.0,4.0,,7.54
Volkswagen Vento,Mumbai,2013.0,36000.0,Petrol,Automatic,First,14.8 kmpl,1598 CC,105 bhp,White,5.0,4.0,,4.65
Volkswagen CrossPolo,Coimbatore,2016.0,54727.0,Diesel,Manual,First,20.14 kmpl,1498 CC,88.73 bhp,White,5.0,4.0,,6.63
Honda Amaze,Kolkata,2013.0,40000.0,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,Others,5.0,4.0,,3.25
Maruti Omni,Coimbatore,2016.0,55137.0,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,White,5.0,4.0,,3.11
Volkswagen Vento,Pune,2013.0,95500.0,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,Others,5.0,4.0,,5.0
Toyota Etios,Chennai,2012.0,48000.0,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,Black/Silver,5.0,4.0,,5.25
Hyundai Grand,Kolkata,2018.0,1800.0,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Others,5.0,4.0,,5.1
Maruti Ertiga,Mumbai,2014.0,13361.0,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,Others,7.0,5.0,,6.8
Toyota Corolla,Kolkata,2014.0,40748.0,Petrol,Manual,First,14.53 kmpl,1798 CC,138 bhp,Black/Silver,5.0,4.0,,6.3
BMW 3,Coimbatore,2010.0,77849.0,Petrol,Automatic,Second,10.9 kmpl,2497 CC,215 bhp,Others,5.0,4.0,,11.27
Nissan X-Trail,Pune,2010.0,128000.0,Diesel,Manual,Second,14.42 kmpl,1995 CC,147.6 bhp,Others,5.0,4.0,,6.2
BMW 3,Kolkata,2013.0,38998.0,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,Others,4.0,4.0,,17.0
Volkswagen Vento,Kochi,2012.0,121377.0,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,Black/Silver,5.0,4.0,,3.8
Maruti Dzire,Hyderabad,2013.0,34900.0,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,Black/Silver,5.0,4.0,7.97 Lakh,5.49
Toyota Etios,Bangalore,2012.0,58253.0,Diesel,Manual,Second,23.59 kmpl,1364 CC,null bhp,White,5.0,4.0,,4.45
Mercedes-Benz New,Kochi,2014.0,44965.0,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,White,5.0,4.0,,17.95
BMW 5,Mumbai,2009.0,128000.0,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,White,5.0,4.0,,7.0
Maruti Swift,Pune,2017.0,57000.0,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,4.25
Mahindra Scorpio,Jaipur,2014.0,72618.0,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,Others,7.0,5.0,,8.0
Renault Captur,Coimbatore,2019.0,24950.0,Diesel,Manual,First,20.37 kmpl,1461 CC,108.45 bhp,Others,5.0,4.0,,13.37
Toyota Innova,Mumbai,2012.0,55000.0,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,White,7.0,4.0,,9.51
Honda City,Pune,2014.0,48094.0,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,Black/Silver,5.0,4.0,,7.25
Maruti Swift,Pune,2009.0,140000.0,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,Others,5.0,4.0,,2.49
Maruti Alto,Jaipur,2015.0,25000.0,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,Others,5.0,4.0,,2.75
Audi A6,Ahmedabad,2009.0,78000.0,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,White,5.0,4.0,,8.0
Audi A3,Delhi,2017.0,22000.0,Diesel,Automatic,Second,20.38 kmpl,1968 CC,143 bhp,Black/Silver,5.0,4.0,,22.5
Maruti Ritz,Coimbatore,2016.0,22767.0,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,Black/Silver,5.0,4.0,,6.14
Skoda Rapid,Pune,2013.0,52900.0,Petrol,Automatic,First,14.3 kmpl,1598 CC,103.52 bhp,White,5.0,4.0,,4.75
Chevrolet Beat,Kochi,2013.0,44378.0,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,Others,5.0,4.0,,3.85
Audi A6,Delhi,2014.0,56000.0,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,Black/Silver,5.0,4.0,59.38 Lakh,24.0
Hyundai i20,Chennai,2017.0,8000.0,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,White,5.0,4.0,,6.75
Tata Indica,Hyderabad,2005.0,100000.0,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,Black/Silver,5.0,4.0,,1.3
Mahindra Scorpio,Delhi,2010.0,61001.0,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,Black/Silver,8.0,5.0,,4.75
Hyundai i20,Kochi,2014.0,55804.0,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,Others,5.0,4.0,,4.76
Chevrolet Cruze,Hyderabad,2013.0,57352.0,Diesel,Automatic,First,14.39 kmpl,1998 CC,163.7 bhp,White,5.0,4.0,,6.5
Honda Brio,Mumbai,2013.0,63107.0,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,Others,5.0,4.0,,3.25
Hyundai Grand,Kolkata,2014.0,37000.0,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,Black/Silver,5.0,4.0,,3.45
Honda Amaze,Mumbai,2013.0,39879.0,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,Black/Silver,5.0,4.0,,3.89
Maruti Swift,Jaipur,2016.0,80000.0,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,Black/Silver,5.0,4.0,,4.5
Maruti Swift,Kolkata,2017.0,13000.0,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,Black/Silver,5.0,4.0,,4.65
Maruti Swift,Chennai,2008.0,107000.0,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,White,5.0,4.0,,3.1
Tata Indica,Pune,2017.0,49000.0,Diesel,Manual,Second,25.0 kmpl,1396 CC,69 bhp,White,5.0,4.0,,1.6
Maruti Alto,Hyderabad,2006.0,71993.0,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,Black/Silver,5.0,4.0,,1.8
Ford Ecosport,Hyderabad,2013.0,69000.0,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,White,5.0,4.0,,7.2
Skoda Laura,Mumbai,2011.0,68000.0,Diesel,Automatic,First,15.6 kmpl,1896 CC,106 bhp,Others,5.0,4.0,,4.8
Hyundai Creta,Kolkata,2016.0,51000.0,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,White,5.0,4.0,,9.2
Toyota Innova,Kochi,2017.0,26023.0,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,Black/Silver,7.0,4.0,26.55 Lakh,19.97
Audi Q7,Pune,2008.0,120300.0,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,Others,7.0,5.0,,18.0
Toyota Etios,Mumbai,2013.0,8950.0,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,Others,5.0,4.0,,3.55
Maruti Wagon,Pune,2012.0,92000.0,CNG,Manual,Second,26.2 km/kg,998 CC,58.2 bhp,Others,5.0,4.0,,3.0
Hyundai i20,Hyderabad,2018.0,11691.0,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,Others,5.0,4.0,,8.9
Tata Zest,Mumbai,2017.0,100000.0,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,White,5.0,4.0,6.83 Lakh,4.25
Mercedes-Benz SL-Class,Kolkata,2010.0,35000.0,Petrol,Automatic,First,8.1 kmpl,5461 CC,387.3 bhp,Black/Silver,2.0,2.0,,29.5
Hyundai Getz,Hyderabad,2007.0,58307.0,Petrol,Manual,First,15.3 kmpl,1341 CC,83 bhp,White,5.0,4.0,,1.95
Toyota Innova,Hyderabad,2016.0,121362.0,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,Others,7.0,4.0,,16.0
Toyota Innova,Chennai,2016.0,48000.0,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,Others,7.0,4.0,25.4 Lakh,20.25
Maruti Omni,Hyderabad,2013.0,34834.0,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,Black/Silver,5.0,4.0,,2.6
Toyota Innova,Ahmedabad,2016.0,42388.0,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,White,7.0,4.0,24.63 Lakh,18.0
